v1	V(n001)/I(R1)
Step Information: Vg=-3  (Run: 1/8)
2.900000000000001e+000	7.620031e+002
3.000000000000001e+000	7.881572e+002
3.100000000000001e+000	8.143010e+002
3.200000000000002e+000	8.404345e+002
3.300000000000002e+000	8.665576e+002
3.400000000000002e+000	8.926703e+002
3.500000000000002e+000	9.187728e+002
3.600000000000002e+000	9.448649e+002
3.700000000000002e+000	9.709467e+002
3.800000000000002e+000	9.970182e+002
3.900000000000002e+000	1.023079e+003
4.000000000000002e+000	1.049130e+003
4.100000000000001e+000	1.075171e+003
4.200000000000001e+000	1.101201e+003
4.300000000000001e+000	1.127221e+003
4.400000000000000e+000	1.153231e+003
4.500000000000000e+000	1.179230e+003
4.600000000000000e+000	1.205220e+003
4.699999999999999e+000	1.231198e+003
4.799999999999999e+000	1.257167e+003
4.899999999999999e+000	1.283126e+003
5.000000000000000e+000	1.309074e+003
Step Information: Vg=-1  (Run: 5/8)
0.000000000000000e+000	-1.000000e+000
1.000000000000000e-001	2.056548e+002
2.000000000000000e-001	2.100005e+002
3.000000000000000e-001	2.145385e+002
4.000000000000000e-001	2.192818e+002
5.000000000000000e-001	2.242448e+002
6.000000000000000e-001	2.294428e+002
7.000000000000000e-001	2.348933e+002
7.999999999999999e-001	2.406148e+002
8.999999999999999e-001	2.466282e+002
9.999999999999999e-001	2.529565e+002
1.100000000000000e+000	2.596249e+002
1.200000000000000e+000	2.666617e+002
1.300000000000000e+000	2.740984e+002
1.400000000000000e+000	2.819698e+002
1.500000000000000e+000	2.903155e+002
1.600000000000000e+000	2.991795e+002
1.700000000000000e+000	3.086116e+002
1.800000000000001e+000	3.186684e+002
1.900000000000001e+000	3.294139e+002
2.000000000000000e+000	3.409215e+002
2.100000000000001e+000	3.532752e+002
2.200000000000001e+000	3.665719e+002
2.300000000000001e+000	3.809239e+002
2.400000000000001e+000	3.964619e+002
2.500000000000001e+000	4.129061e+002
2.600000000000001e+000	4.293771e+002
2.700000000000001e+000	4.458416e+002
2.800000000000001e+000	4.622996e+002
2.900000000000001e+000	4.787511e+002
3.000000000000001e+000	4.951960e+002
3.100000000000001e+000	5.116345e+002
3.200000000000002e+000	5.280664e+002
3.300000000000002e+000	5.444919e+002
3.400000000000002e+000	5.609109e+002
3.500000000000002e+000	5.773234e+002
3.600000000000002e+000	5.937294e+002
3.700000000000002e+000	6.101289e+002
3.800000000000002e+000	6.265219e+002
3.900000000000002e+000	6.429085e+002
4.000000000000002e+000	6.592886e+002
4.100000000000001e+000	6.756622e+002
4.200000000000001e+000	6.920294e+002
4.300000000000001e+000	7.083901e+002
4.400000000000000e+000	7.247443e+002
4.500000000000000e+000	7.410922e+002
4.600000000000000e+000	7.574335e+002
4.699999999999999e+000	7.737684e+002
4.799999999999999e+000	7.900969e+002
4.899999999999999e+000	8.064190e+002
5.000000000000000e+000	8.227346e+002
Step Information: Vg=-500m  (Run: 6/8)
0.000000000000000e+000	-1.000000e+000
1.000000000000000e-001	1.700509e+002
2.000000000000000e-001	1.729900e+002
3.000000000000000e-001	1.760356e+002
4.000000000000000e-001	1.791936e+002
5.000000000000000e-001	1.824702e+002
6.000000000000000e-001	1.858724e+002
7.000000000000000e-001	1.894075e+002
7.999999999999999e-001	1.930834e+002
8.999999999999999e-001	1.969086e+002
9.999999999999999e-001	2.008926e+002
1.100000000000000e+000	2.050454e+002
1.200000000000000e+000	2.093780e+002
1.300000000000000e+000	2.139022e+002
1.400000000000000e+000	2.186311e+002
1.500000000000000e+000	2.235789e+002
1.600000000000000e+000	2.287612e+002
1.700000000000000e+000	2.341950e+002
1.800000000000001e+000	2.398992e+002
1.900000000000001e+000	2.458943e+002
2.000000000000000e+000	2.522033e+002
2.100000000000001e+000	2.588515e+002
2.200000000000001e+000	2.658669e+002
2.300000000000001e+000	2.732809e+002
2.400000000000001e+000	2.811285e+002
2.500000000000001e+000	2.894487e+002
2.600000000000001e+000	2.982857e+002
2.700000000000001e+000	3.076892e+002
2.800000000000001e+000	3.177153e+002
2.900000000000001e+000	3.284282e+002
3.000000000000001e+000	3.396898e+002
3.100000000000001e+000	3.509765e+002
3.200000000000002e+000	3.622589e+002
3.300000000000002e+000	3.735367e+002
3.400000000000002e+000	3.848101e+002
3.500000000000002e+000	3.960791e+002
3.600000000000002e+000	4.073436e+002
3.700000000000002e+000	4.186037e+002
3.800000000000002e+000	4.298592e+002
3.900000000000002e+000	4.411104e+002
4.000000000000002e+000	4.523572e+002
4.100000000000001e+000	4.635994e+002
4.200000000000001e+000	4.748374e+002
4.300000000000001e+000	4.860708e+002
4.400000000000000e+000	4.972998e+002
4.500000000000000e+000	5.085244e+002
