v1	I(R1)
Step Information: Vg=-3  (Run: 1/8)
1.300000000000000e+000	8.618240e-004
1.400000000000000e+000	8.619956e-004
1.500000000000000e+000	8.621672e-004
1.600000000000000e+000	8.623388e-004
1.700000000000000e+000	8.625104e-004
1.800000000000001e+000	8.626819e-004
1.900000000000001e+000	8.628535e-004
2.000000000000000e+000	8.630251e-004
2.100000000000001e+000	8.631967e-004
2.200000000000001e+000	8.633683e-004
2.300000000000001e+000	8.635399e-004
2.400000000000001e+000	8.637115e-004
2.500000000000001e+000	8.638831e-004
2.600000000000001e+000	8.640547e-004
2.700000000000001e+000	8.642263e-004
2.800000000000001e+000	8.643979e-004
2.900000000000001e+000	8.645695e-004
3.000000000000001e+000	8.647410e-004
3.100000000000001e+000	8.649126e-004
3.200000000000002e+000	8.650842e-004
3.300000000000002e+000	8.652558e-004
3.400000000000002e+000	8.654274e-004
3.500000000000002e+000	8.655990e-004
3.600000000000002e+000	8.657706e-004
3.700000000000002e+000	8.659422e-004
3.800000000000002e+000	8.661138e-004
3.900000000000002e+000	8.662854e-004
4.000000000000002e+000	8.664569e-004
4.100000000000001e+000	8.666285e-004
4.200000000000001e+000	8.668001e-004
4.300000000000001e+000	8.669717e-004
4.400000000000000e+000	8.671433e-004
4.500000000000000e+000	8.673149e-004
4.600000000000000e+000	8.674865e-004
4.699999999999999e+000	8.676581e-004
4.799999999999999e+000	8.678297e-004
4.899999999999999e+000	8.680013e-004
5.000000000000000e+000	8.681729e-004
Step Information: Vg=-2  (Run: 3/8)
0.000000000000000e+000	2.506274e-012
1.000000000000000e-001	2.805834e-004
2.000000000000000e-001	5.408648e-004
3.000000000000000e-001	7.808072e-004
4.000000000000000e-001	1.000374e-003
5.000000000000000e-001	1.199526e-003
6.000000000000000e-001	1.378228e-003
7.000000000000000e-001	1.536442e-003
7.999999999999999e-001	1.674131e-003
8.999999999999999e-001	1.791256e-003
9.999999999999999e-001	1.887779e-003
1.100000000000000e+000	1.963664e-003
1.200000000000000e+000	2.018872e-003
1.300000000000000e+000	2.053365e-003
1.400000000000000e+000	2.067104e-003
1.500000000000000e+000	2.067723e-003
1.600000000000000e+000	2.068134e-003
1.700000000000000e+000	2.068545e-003
1.800000000000001e+000	2.068957e-003
1.900000000000001e+000	2.069368e-003
2.000000000000000e+000	2.069779e-003
2.100000000000001e+000	2.070190e-003
2.200000000000001e+000	2.070601e-003
2.300000000000001e+000	2.071012e-003
2.400000000000001e+000	2.071423e-003
2.500000000000001e+000	2.071834e-003
2.600000000000001e+000	2.072245e-003
2.700000000000001e+000	2.072657e-003
2.800000000000001e+000	2.073068e-003
2.900000000000001e+000	2.073479e-003
3.000000000000001e+000	2.073890e-003
3.100000000000001e+000	2.074301e-003
3.200000000000002e+000	2.074712e-003
3.300000000000002e+000	2.075123e-003
3.400000000000002e+000	2.075534e-003
3.500000000000002e+000	2.075945e-003
3.600000000000002e+000	2.076356e-003
3.700000000000002e+000	2.076767e-003
3.800000000000002e+000	2.077179e-003
3.900000000000002e+000	2.077590e-003
4.000000000000002e+000	2.078001e-003
4.100000000000001e+000	2.078412e-003
4.200000000000001e+000	2.078823e-003
4.300000000000001e+000	2.079234e-003
4.400000000000000e+000	2.079645e-003
4.500000000000000e+000	2.080056e-003
4.600000000000000e+000	2.080467e-003
4.699999999999999e+000	2.080878e-003
4.799999999999999e+000	2.081289e-003
4.899999999999999e+000	2.081700e-003
5.000000000000000e+000	2.082112e-003
Step Information: Vg=-1.5  (Run: 4/8)
0.000000000000000e+000	1.975142e-012
1.000000000000000e-001	3.825549e-004
2.000000000000000e-001	7.449935e-004
3.000000000000000e-001	1.087280e-003
4.000000000000000e-001	1.409376e-003
5.000000000000000e-001	1.711247e-003
6.000000000000000e-001	1.992855e-003
7.000000000000000e-001	2.254163e-003
7.999999999999999e-001	2.495135e-003
8.999999999999999e-001	2.715733e-003
9.999999999999999e-001	2.915920e-003
1.100000000000000e+000	3.095659e-003
1.200000000000000e+000	3.254912e-003
1.300000000000000e+000	3.393642e-003
1.400000000000000e+000	3.511811e-003
1.500000000000000e+000	3.609382e-003
1.600000000000000e+000	3.686316e-003
1.700000000000000e+000	3.742576e-003
1.800000000000001e+000	3.778124e-003
1.900000000000001e+000	3.792922e-003
2.000000000000000e+000	3.793996e-003
2.100000000000001e+000	3.794749e-003
2.200000000000001e+000	3.795502e-003
2.300000000000001e+000	3.796254e-003
2.400000000000001e+000	3.797007e-003
2.500000000000001e+000	3.797760e-003
2.600000000000001e+000	3.798513e-003
2.700000000000001e+000	3.799265e-003
2.800000000000001e+000	3.800018e-003
2.900000000000001e+000	3.800771e-003
3.000000000000001e+000	3.801524e-003
3.100000000000001e+000	3.802276e-003
3.200000000000002e+000	3.803029e-003
3.300000000000002e+000	3.803782e-003
3.400000000000002e+000	3.804535e-003
3.500000000000002e+000	3.805288e-003
3.600000000000002e+000	3.806040e-003
3.700000000000002e+000	3.806793e-003
3.800000000000002e+000	3.807546e-003
3.900000000000002e+000	3.808299e-003
4.000000000000002e+000	3.809051e-003
4.100000000000001e+000	3.809804e-003
4.200000000000001e+000	3.810557e-003
4.300000000000001e+000	3.811310e-003
4.400000000000000e+000	3.812062e-003
4.500000000000000e+000	3.812815e-003
4.600000000000000e+000	3.813568e-003
4.699999999999999e+000	3.814321e-003
4.799999999999999e+000	3.815073e-003
4.899999999999999e+000	3.815826e-003
5.000000000000000e+000	3.816579e-003
Step Information: Vg=-1  (Run: 5/8)
0.000000000000000e+000	1.440920e-012
1.000000000000000e-001	4.838989e-004
2.000000000000000e-001	9.478651e-004
3.000000000000000e-001	1.391863e-003
4.000000000000000e-001	1.815856e-003
5.000000000000000e-001	2.219808e-003
6.000000000000000e-001	2.603682e-003
7.000000000000000e-001	2.967444e-003
7.999999999999999e-001	3.311056e-003
8.999999999999999e-001	3.634481e-003
9.999999999999999e-001	3.937683e-003
1.100000000000000e+000	4.220625e-003
1.200000000000000e+000	4.483270e-003
1.300000000000000e+000	4.725582e-003
1.400000000000000e+000	4.947524e-003
1.500000000000000e+000	5.149057e-003
1.600000000000000e+000	5.330144e-003
1.700000000000000e+000	5.490750e-003
1.800000000000001e+000	5.630835e-003
1.900000000000001e+000	5.750363e-003
2.000000000000000e+000	5.849296e-003
2.100000000000001e+000	5.927595e-003
2.200000000000001e+000	5.985223e-003
2.300000000000001e+000	6.022143e-003
2.400000000000001e+000	6.038315e-003
2.500000000000001e+000	6.040018e-003
2.600000000000001e+000	6.041214e-003
2.700000000000001e+000	6.042410e-003
2.800000000000001e+000	6.043606e-003
2.900000000000001e+000	6.044802e-003
3.000000000000001e+000	6.045998e-003
3.100000000000001e+000	6.047193e-003
3.200000000000002e+000	6.048390e-003
3.300000000000002e+000	6.049586e-003
3.400000000000002e+000	6.050781e-003
3.500000000000002e+000	6.051977e-003
3.600000000000002e+000	6.053173e-003
3.700000000000002e+000	6.054369e-003
3.800000000000002e+000	6.055565e-003
3.900000000000002e+000	6.056761e-003
4.000000000000002e+000	6.057957e-003
